index,instrument_name,instrument_type,is_active,tick_size,option_type,strike,expiry,minimum_amount,amount_step,maker_fee_rate,taker_fee_rate,ask_price,ask_size,bid_price,bid_size,market_price,delta,gamma,vega,theta,iv,mark,ts
BTC-USD,BTC-20260925-95000-P,option,True,1,P,95000.0,20260925,0.01,1e-05,0.0001,0.0003,49117.0,1.0,31306.0,1.0,64021.0,-0.80571,1.167e-05,133.23347,-15.25376,0.47831,31482.0,1772274866490
BTC-USD,BTC-20260925-95000-C,option,True,1,C,95000.0,20260925,0.01,1e-05,0.0001,0.0003,2387.0,1.0,1815.0,1.0,64021.0,0.19428,1.167e-05,133.23348,-15.25376,0.47831,2123.0,1772274865582
BTC-USD,BTC-20260925-90000-P,option,True,1,P,90000.0,20260925,0.01,0.0001,0.0001,0.0003,44796.0,1.0,27006.0,1.0,64021.0,-0.76506,1.315e-05,148.81169,-16.88186,0.47395,27118.0,1772274866088
BTC-USD,BTC-20260925-90000-C,option,True,1,C,90000.0,20260925,0.01,0.0001,0.0001,0.0003,3025.0,1.0,2400.0,1.0,64014.0,0.23484,1.315e-05,148.762,-16.87622,0.47395,2672.0,1772274865178
BTC-USD,BTC-20260925-85000-P,option,True,1,P,85000.0,20260925,0.01,0.0001,0.0001,0.0003,40661.0,1.0,22899.0,1.0,64014.0,-0.71502,1.461e-05,164.40538,-18.55964,0.47163,22948.0,1772274865077
BTC-USD,BTC-20260925-85000-C,option,True,1,C,85000.0,20260925,0.01,0.0001,0.0001,0.0003,3868.0,1.0,3177.0,1.0,64014.0,0.28497,1.461e-05,164.40538,-18.55964,0.47163,3411.0,1772274864571
BTC-USD,BTC-20260925-80000-P,option,True,1,P,80000.0,20260925,0.01,0.0001,0.0001,0.0003,25588.0,1.0,19042.0,1.0,64014.0,-0.65448,1.584e-05,178.52362,-20.17299,0.47209,19027.0,1772274864976
BTC-USD,BTC-20260925-80000-C,option,True,1,C,80000.0,20260925,0.01,0.0001,0.0001,0.0003,4964.0,1.0,4210.0,1.0,64000.0,0.34504,1.585e-05,178.39614,-20.14053,0.47167,4393.0,1772274857092
BTC-USD,BTC-20260925-75000-P,option,True,1,P,75000.0,20260925,0.01,1e-05,0.0001,0.0003,16083.0,1.0,15183.0,1.0,64000.0,-0.58431,1.664e-05,188.82627,-21.50168,0.47573,15433.0,1772274857092
BTC-USD,BTC-20260925-75000-C,option,True,1,C,75000.0,20260925,0.01,1e-05,0.0001,0.0003,6771.0,0.75234,6770.0,0.00017,64021.0,0.41619,1.663e-05,188.93936,-21.52987,0.47607,5728.0,1772274865278
BTC-USD,BTC-20260925-70000-P,option,True,1,P,70000.0,20260925,0.01,0.0001,0.0001,0.0003,12845.0,1.0,11995.0,1.0,64000.0,-0.50587,1.673e-05,193.13524,-22.37214,0.48394,12233.0,1772274857899
BTC-USD,BTC-20260925-70000-C,option,True,1,C,70000.0,20260925,0.01,0.0001,0.0001,0.0003,8088.0,1.0,7257.0,1.0,64021.0,0.49455,1.672e-05,193.20077,-22.39049,0.48418,7442.0,1772274865683
BTC-USD,BTC-20260925-65000-P,option,True,1,P,65000.0,20260925,0.01,1e-05,0.0001,0.0003,9967.0,1.0,9209.0,1.0,64021.0,-0.42337,1.599e-05,189.64335,-22.54904,0.49675,9467.0,1772274865583
BTC-USD,BTC-20260925-65000-C,option,True,1,C,65000.0,20260925,0.01,1e-05,0.0001,0.0003,10211.0,1.0,9328.0,1.0,64000.0,0.57627,1.6e-05,189.6146,-22.53982,0.49662,9582.0,1772274858203
BTC-USD,BTC-20260925-60000-P,option,True,1,P,60000.0,20260925,0.01,0.0001,0.0001,0.0003,7562.0,1.0,6807.0,1.0,64021.0,-0.34256,1.451e-05,177.97081,-21.88764,0.51381,7162.0,1772274866694
BTC-USD,BTC-20260925-60000-C,option,True,1,C,60000.0,20260925,0.01,0.0001,0.0001,0.0003,18116.0,1.0,10140.0,1.0,64021.0,0.65743,1.451e-05,177.97081,-21.88764,0.51381,12206.0,1772274866185
BTC-USD,BTC-20260925-540000-P,option,True,1,P,540000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,-0.99994,0.0,0.11526,-0.01876,0.68027,466792.0,1772274857497
BTC-USD,BTC-20260925-540000-C,option,True,1,C,540000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,5e-05,0.0,0.11526,-0.01876,0.68027,0.0,1772274857091
BTC-USD,BTC-20260925-520000-P,option,True,1,P,520000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64014.0,-0.99992,0.0,0.15362,-0.02502,0.68051,447121.0,1772274865077
BTC-USD,BTC-20260925-520000-C,option,True,1,C,520000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,7e-05,0.0,0.15249,-0.02483,0.68027,0.0,1772274857900
BTC-USD,BTC-20260925-50000-P,option,True,1,P,50000.0,20260925,0.01,1e-05,0.0001,0.0003,4051.0,1.0,3466.0,1.0,64021.0,-0.20168,1.019e-05,136.27912,-18.27961,0.56039,3812.0,1772274866694
BTC-USD,BTC-20260925-50000-C,option,True,1,C,50000.0,20260925,0.01,1e-05,0.0001,0.0003,35596.0,1.0,18304.0,1.0,64021.0,0.79831,1.019e-05,136.27912,-18.27961,0.56039,18685.0,1772274866491
BTC-USD,BTC-20260925-500000-P,option,True,1,P,500000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,-0.99989,1e-08,0.20281,-0.03302,0.68027,427474.0,1772274858405
BTC-USD,BTC-20260925-500000-C,option,True,1,C,500000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.0001,1e-08,0.20445,-0.0333,0.68051,0.0,1772274866491
BTC-USD,BTC-20260925-480000-P,option,True,1,P,480000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,-0.99985,1e-08,0.27122,-0.04416,0.68027,407815.0,1772274857598
BTC-USD,BTC-20260925-480000-C,option,True,1,C,480000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.00014,1e-08,0.27334,-0.04452,0.68051,1.0,1772274865784
BTC-USD,BTC-20260925-460000-P,option,True,1,P,460000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64000.0,-0.9998,2e-08,0.36477,-0.05939,0.68027,388157.0,1772274857091
BTC-USD,BTC-20260925-460000-C,option,True,1,C,460000.0,20260925,0.01,0.0001,0.0001,0.0003,0.0,0.0,0.0,0.0,64021.0,0.0002,2e-08,0.36751,-0.05986,0.68051,1.0,1772274865231
